cd,type,status,margin_favor,margin
AK00,Lean Dem,Flipped to D,D,10
AL01,R,,R,68
AL02,R,,R,40
AL03,R,,R,46
AL04,R,,R,71
AL05,R,,R,38
AL06,R,,R,69
AL07,D,,D,29
AR01,R,,R,48
AR02,R,,R,25
AR03,R,,R,31
AR04,R,,R,45
AZ01,Toss Up,,R,0.87
AZ02,Lean Rep,Flipped to R,R,8
AZ03,D,,D,54
AZ04,Likely Dem,,D,12
AZ05,R,,R,19
AZ06,Lean Rep,Flipped to R,R,1.5
AZ07,D,,D,29
IL07,D,,D,100
MA04,D,,D,100
CA01,R,,R,24
CA02,D,,D,49
CA03,Likely Rep,,R,7
CA04,D,,D,35
CA05,R,Flipped to R,R,23
CA06,D,,D,13
CA07,D,,D,35
CA08,D,,D,51
CA09,Lean Dem,,D,12
CA10,D,,D,58
CA11,D,,D,68
CA12,D,,D,81
CA13,Toss Up,,R,0.45
CA14,D,,D,38
CA15,D,,D,12
CA16,D,,D,16
CA17,D,,D,42
CA18,D,,D,32
CA19,D,,D,39
CA20,R,,R,35
CA21,D,,D,8
CA22,Toss Up,,R,3
CA23,R,,R,23
CA24,D,,D,22
CA25,D,,D,16
CA26,Lean Dem,,D,8
CA27,Toss Up,,R,8
CA28,D,,D,31
CA29,D,,D,19
CA30,D,,D,43
CA31,D,,D,17
CA32,D,,D,37
CA33,D,,D,14
CA34,D,,D,3
CA35,D,,D,13
CA36,D,,D,38
CA37,D,,D,28
CA38,D,,D,14
CA39,D,,D,15
CA40,Likely Rep,,R,14
CA41,Lean Rep,,R,3
CA42,D,,D,34
CA43,D,,D,53
CA44,D,,D,43
CA45,Lean Rep,,R,5
CA46,D,,D,23
CA47,Toss Up,,D,3
CA48,R,,R,21
CA49,Toss Up,,D,5
CA50,D,,D,26
CA51,D,,D,24
CA52,D,,D,33
CO01,D,,D,63
CO02,D,,D,42
CO03,R,,R,0.17
CO04,R,,R,24
CO05,R,,R,16
CO06,D,,D,23
CO07,Likely Dem,,D,15
CO08,Toss Up,,D,0.69
CT01,D,,D,24
CT02,Likely Dem,,D,18
CT03,D,,D,16
CT04,D,,D,19
CT05,Toss Up,,D,0.8
DE00,D,,D,13
FL01,R,,R,36
FL02,R,,R,20
FL03,R,,R,26
FL04,R,Flipped to R,R,21
NY13,D,,D,100
FL06,R,,R,51
FL07,R,Flipped to R,R,17
FL08,R,,R,30
FL09,D,,D,7
FL10,D,,D,20
FL11,R,,R,28
FL12,R,,R,41
FL13,Lean Rep,Flipped to R,R,8
FL14,D,,D,14
FL15,Likely Rep,,R,17
FL16,R,,R,24
FL17,R,,R,28
FL18,R,,R,49
FL19,R,,R,36
FL20,D,,D,45
FL21,R,,R,27
FL22,D,,D,10
FL23,D,,D,5
FL24,D,,D,44
FL25,D,,D,10
FL26,R,,R,42
FL27,Likely Rep,,R,15
FL28,R,,R,27
GA01,R,,R,18
GA02,Likely Dem,,D,10
GA03,R,,R,38
GA04,D,,D,57
GA05,D,,D,65
GA06,R,Flipped to R,R,24
GA07,D,,D,22
