year,type,district_id
2020,Likely Dem,CA10
2020,Likely Dem,CA39
2020,Likely Dem,FL27
2020,Likely Dem,GA06
2020,Likely Dem,IL14
2020,Likely Dem,ME02
2020,Likely Dem,MN02
2020,Likely Dem,NC02
2020,Likely Dem,NC06
2020,Likely Dem,NH01
2020,Likely Dem,NJ03
2020,Likely Dem,NV04
2020,Likely Dem,NY19
2020,Likely Dem,PA07
2020,Likely Dem,PA17
2020,Likely Dem,TX07
2020,Likely Dem,TX32
2020,Likely Dem,WA08
2020,Lean Dem,AZ01
2020,Lean Dem,CA48
2020,Lean Dem,FL26
2020,Lean Dem,GA07
2020,Lean Dem,IA03
2020,Lean Dem,IL17
2020,Lean Dem,MI08
2020,Lean Dem,MI11
2020,Lean Dem,NJ07
2020,Lean Dem,NV03
2020,Lean Dem,OR04
2020,Lean Dem,PA08
2020,Lean Dem,SC01
2020,Lean Dem,TX23
2020,Lean Dem,TX24
2020,Lean Dem,VA02
2020,Lean Dem,VA07
2020,Lean Dem,WI03
2020,Toss Up,CA21
2020,Toss Up,IA01
2020,Toss Up,IA02
2020,Toss Up,MN07
2020,Toss Up,NM02
2020,Toss Up,NY11
2020,Toss Up,NY22
2020,Toss Up,OK05
2020,Toss Up,UT04
2020,Toss Up,AR02
2020,Toss Up,AZ06
2020,Toss Up,CA25
2020,Toss Up,IL13
2020,Toss Up,IN05
2020,Toss Up,MI03
2020,Toss Up,MN01
2020,Toss Up,MO02
2020,Toss Up,NE02
2020,Toss Up,NJ02
2020,Toss Up,NY02
2020,Toss Up,NY24
2020,Toss Up,OH01
2020,Toss Up,PA10
2020,Toss Up,TX10
2020,Toss Up,TX21
2020,Toss Up,TX22
2020,Toss Up,VA05
2020,Lean Rep,AK00
2020,Lean Rep,CA50
2020,Lean Rep,CO03
2020,Lean Rep,FL15
2020,Lean Rep,MI06
2020,Lean Rep,MTAL
2020,Lean Rep,NC08
2020,Lean Rep,NC09
2020,Lean Rep,NC11
2020,Lean Rep,NY01
2020,Lean Rep,PA01
2020,Lean Rep,TX03
2020,Lean Rep,TX31
2020,Lean Rep,WA03
2020,Likely Rep,CA04
2020,Likely Rep,CA22
2020,Likely Rep,FL16
2020,Likely Rep,FL18
2020,Likely Rep,KS02
2020,Likely Rep,KY06
2020,Likely Rep,OH10
2020,Likely Rep,OH12
2020,Likely Rep,PA16
2020,Likely Rep,TX02
2020,Likely Rep,TX06
2020,Likely Rep,TX25
2020,D,AL07
2020,D,AZ02
2020,D,AZ03
2020,D,AZ07
2020,D,AZ09
2020,D,CA02
2020,D,CA03
2020,D,CA05
2020,D,CA06
2020,D,CA07
2020,D,CA09
2020,D,CA11
2020,D,CA12
2020,D,CA13
2020,D,CA14
2020,D,CA15
2020,D,CA16
2020,D,CA17
2020,D,CA18
2020,D,CA19
2020,D,CA20
2020,D,CA24
