cd,margin_favor,margin
AL01,R,0.288311175
AL02,R,0.30540009
AL03,R,0.350022034
AL04,R,0.645588924
AL05,R,0.916217444
AL06,R,0.942599226
AL07,D,-0.943279201
AK00,R,0.09137372
AZ01,D,-0.032203473
AZ02,D,-0.10226897
AZ03,D,-0.291468553
AZ04,R,0.395155322
AZ05,R,0.177811635
AZ06,R,0.043454305
AZ07,D,-0.534116404
AZ08,R,0.191297782
AZ09,D,-0.232529224
AR01,R,1
AR02,R,0.107316325
AR03,R,0.324999551
AR04,R,0.421280928
CA01,R,0.139888853
CA02,D,-0.514758653
CA03,D,-0.093475533
CA04,R,0.118908109
CA05,D,-0.521814509
CA06,D,-0.466865103
CA07,D,-0.132478221
CA08,R,0.121192748
CA09,D,-0.151660553
CA10,D,-0.103261552
CA11,D,-0.459855233
CA12,D,-0.552698719
CA13,D,-0.80731386
CA14,D,-0.585732397
CA15,D,-0.418093323
CA16,D,-0.187566039
CA17,D,-0.426917696
CA18,D,-0.26337323
CA19,D,-0.433646299
CA20,D,-0.535523766
CA21,R,0.008935386
CA22,R,0.084524607
CA23,R,0.242801795
CA24,D,-0.17326857
CA25,R,0.000982466
CA26,D,-0.211697169
CA27,D,-0.395514909
CA28,D,-0.453133412
CA29,D,-0.132243629
CA30,D,-0.389655652
CA31,D,-0.225764726
CA32,D,-0.331552202
CA33,D,-0.351603983
CA34,D,-0.059596973
CA35,D,-0.38659933
CA36,D,-0.206789007
CA37,D,-0.718799411
CA38,D,-0.486827006
CA39,R,0.011952307
CA40,D,-0.454783481
CA41,D,-0.28060387
CA42,R,0.142647542
CA43,D,-0.433691498
CA44,D,-0.355695121
CA45,D,-0.069280063
CA46,D,-0.375075702
CA47,D,-0.26543759
CA48,R,0.021199696
CA49,D,-0.062591525
CA50,R,0.079063992
CA51,D,-0.366095109
CA52,D,-0.23151616
CA53,D,-0.190020845
CO01,D,-0.501157032
CO02,D,-0.260592674
CO03,R,0.061753614
CO04,R,0.235022847
CO05,R,0.202154452
CO06,D,-0.171326399
CO07,D,-0.215307854
CT01,D,-0.287933409
CT02,D,-0.211688131
CT03,D,-0.189732536
CT04,D,-0.260052229
CT05,D,-0.115860427
DE00,D,-0.17406353
